,Date,Open,High,Low,Close,Adj Close,Volume,environment_negative_percentage,government_negative_percentage,neutral_negative_percentage,social_negative_percentage,environment_positive_percentage,government_positive_percentage,neutral_positive_percentage,social_positive_percentage
170,2024-05-20,28.66,28.709999,28.459999,28.530001,28.132963,22423300,100.0,0.0,,0.0,0.0,100.0,,100.0
171,2024-05-21,28.469999,28.67,28.32,28.559999,28.162544,28119900,50.0,0.0,,75.0,50.0,100.0,,25.0
172,2024-05-22,28.469999,29.629999,28.42,29.6,29.188072,46987500,0.0,0.0,,57.14285714285714,100.0,100.0,,42.857142857142854
173,2024-05-23,29.43,29.43,28.67,28.690001,28.290737,42031300,0.0,50.0,,80.0,100.0,50.0,,20.0
174,2024-05-24,28.67,28.99,28.549999,28.879999,28.47809,22576300,,100.0,,50.0,,0.0,,50.0
175,2024-05-28,28.799999,28.879999,28.129999,28.299999,27.906162,32371200,100.0,,,25.0,0.0,,,75.0
176,2024-05-29,28.16,28.17,27.690001,27.82,27.432842,24241700,0.0,50.0,,33.33333333333333,100.0,50.0,,66.66666666666666
177,2024-05-30,27.91,28.200001,27.790001,28.200001,27.807556,23330700,,,100.0,0.0,,,0.0,100.0
178,2024-05-31,28.34,28.75,28.24,28.66,28.261152,78290100,,100.0,,33.33333333333333,,0.0,,66.66666666666666
179,2024-06-03,28.66,29.530001,28.639999,29.309999,28.902107,38177200,0.0,100.0,0.0,57.14285714285714,100.0,0.0,100.0,42.857142857142854
180,2024-06-04,29.299999,29.73,29.17,29.49,29.079603,46309500,100.0,100.0,,0.0,0.0,0.0,,100.0
181,2024-06-05,29.559999,29.620001,29.17,29.549999,29.138767,27346700,100.0,0.0,100.0,33.33333333333333,0.0,100.0,0.0,66.66666666666666
182,2024-06-06,29.360001,29.540001,28.790001,28.799999,28.399204,35360400,,,,0.0,,,,100.0
183,2024-06-07,28.75,29.049999,28.549999,28.58,28.182266,27526200,50.0,,,,50.0,,,
184,2024-06-10,28.35,28.35,27.629999,28.07,27.679363,37003200,,,,0.0,,,,100.0
185,2024-06-11,27.950001,28.33,27.889999,28.030001,27.639921,29573500,0.0,0.0,,50.0,100.0,100.0,,50.0
186,2024-06-12,28.17,28.23,27.559999,27.66,27.27507,32507900,100.0,0.0,100.0,42.857142857142854,0.0,100.0,0.0,57.14285714285714
187,2024-06-13,27.5,27.719999,27.200001,27.65,27.265209,33945200,0.0,100.0,,50.0,100.0,0.0,,50.0
188,2024-06-14,27.75,28.219999,27.43,27.530001,27.146879,29461900,,,,0.0,,,,100.0
189,2024-06-17,27.450001,27.48,26.870001,26.98,26.604532,32194600,100.0,66.66666666666666,,40.0,0.0,33.33333333333333,,60.0
190,2024-06-18,26.98,27.459999,26.950001,27.41,27.028549,29817800,0.0,75.0,,50.0,100.0,25.0,,50.0
191,2024-06-20,27.200001,27.959999,27.15,27.74,27.353956,29693400,,50.0,,75.0,,50.0,,25.0
192,2024-06-21,27.77,27.889999,27.559999,27.74,27.353956,52561600,100.0,,,100.0,0.0,,,0.0
193,2024-06-24,27.950001,28.41,27.73,28.360001,27.965328,35414100,,,,50.0,,,,50.0
194,2024-06-25,28.4,28.450001,27.93,27.99,27.600477,26300700,,100.0,,25.0,,0.0,,75.0
195,2024-06-26,27.91,27.93,27.07,27.42,27.03841,30745800,0.0,100.0,,66.66666666666666,100.0,0.0,,33.33333333333333
196,2024-06-27,27.370001,27.83,27.07,27.799999,27.41312,28399600,,0.0,,0.0,,100.0,,100.0
197,2024-06-28,27.780001,28.120001,27.639999,27.98,27.590616,33189200,50.0,,,100.0,50.0,,,0.0
198,2024-07-01,27.950001,28.629999,27.940001,28.219999,27.827276,26209000,100.0,100.0,,100.0,0.0,0.0,,0.0
199,2024-07-02,28.219999,28.280001,27.690001,27.83,27.442703,21989800,100.0,,0.0,50.0,0.0,,100.0,50.0
